,Unnamed: 0,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
920,600250.SH,南纺股份,2021-05-14 09:30:30,-9.04684976,3,,8.400646203554112,20210514,False,True,-10.0,-2.1696,2.2177,-4.5365,1.0331,-19.04684976,-31.21644976
934,600530.SH,交大昂立,2021-05-17 09:31:15,-4.13436693,2,,2.842377260981909,20210517,False,True,10.0,-3.4314,-3.2995,10.0,-6.9212,-14.13436693,-7.565766929999999
947,002289.SZ,宇顺电子,2021-05-18 09:30:16,10.0,3,2283928.0,3.73443983402489,20210518,False,True,-1.0377,-10.0,2.1186,-6.5353,1.7758,0.0,-1.0377
961,600095.SH,湘财股份,2021-05-19 09:55:47,3.64683301,3,,0.2879078694817597,20210519,False,True,10.0,-4.3771,-1.2324,10.0,10.0,-6.35316699,-0.7302669900000005
972,002256.SZ,兆新股份,2021-05-20 09:31:15,5.23809524,2,7305144.0,3.333333333333325,20210520,False,True,-1.81,0.0,-3.2258,5.2381,4.9774,-4.76190476,-6.571904760000001
985,605196.SH,华通线缆,2021-05-21 09:30:30,10.0,8,2368651.0,5.712270803949228,20210521,False,True,-0.9615,-2.7832,10.0,-3.4504,10.0,0.0,-0.9615
994,002862.SZ,实丰文化,2021-05-24 09:35:45,10.0,2,1852650.0,4.638783269961973,20210524,False,True,-1.8659,2.4648,-4.8797,10.0,-0.5913,0.0,-1.8659
1003,002269.SZ,美邦服饰,2021-05-25 09:51:00,9.88700565,2,8795800.0,1.1299435028248597,20210525,False,True,-9.2545,3.3994,-5.2055,10.1156,10.0,-0.1129943499999992,-9.36749435
1010,001206.SZ,依依股份,2021-05-26 09:30:30,10.0,6,1214108.0,7.319667375749365,20210526,False,True,-10.0,-3.1061,-10.0,1.7921,-6.9762,0.0,-13.1061
1020,605337.SH,李子园,2021-05-27 09:31:45,10.0,2,143400.0,1.9611650485436856,20210527,False,True,-2.1712,10.0,-1.8373,-3.5762,2.8769,0.0,-2.1712
1029,002679.SZ,福建金森,2021-05-28 09:30:15,6.89320388,6,,9.999999999999996,20210528,False,True,10.0,10.0,-10.0,2.5855,-2.4797,-3.1067961200000003,9.47870388
1040,605186.SH,健麾信息,2021-05-31 09:32:15,10.0,4,801477.0,6.163886874546784,20210531,False,True,10.0,10.0,2.152,-10.0,10.0,0.0,22.152
1055,000663.SZ,永安林业,2021-06-01 09:31:15,5.03778338,2,74300.0,3.904282115869013,20210601,False,True,2.8777,-0.8159,5.0529,5.0336,5.0053,-4.96221662,-2.0845166200000005
1068,603650.SH,彤程新材,2021-06-02 09:31:30,10.0,2,866184.0,1.382823871906842,20210602,False,True,-4.9404,3.2483,3.8202,-5.7348,0.9715,0.0,-4.9404
1083,603196.SH,日播时尚,2021-06-03 09:31:30,10.0,3,2058762.0,1.320132013201331,20210603,False,True,10.0,1.8182,10.0,-10.0,-10.0,0.0,11.8182
1092,002346.SZ,柘中股份,2021-06-04 09:30:30,10.0,2,4130517.0,9.984152139461186,20210604,False,True,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
1108,603196.SH,日播时尚,2021-06-07 09:31:30,1.81818182,5,,4.090909090909085,20210607,False,True,10.0,-10.0,-10.0,-6.3765,-3.5676,-8.18181818,-24.55831818
1119,002547.SZ,春兴精工,2021-06-08 09:31:45,10.0,3,22655100.0,9.939148073022317,20210608,False,True,-0.369,10.0,-10.0,-5.9813,-7.7535,0.0,-0.369
1130,600992.SH,贵绳股份,2021-06-09 09:30:15,10.0,2,3285699.0,9.859154929577471,20210609,False,True,3.2596,-10.0,-2.5063,10.0,-3.8551,0.0,3.2596
1145,600714.SH,金瑞矿业,2021-06-10 09:42:45,2.87610619,2,,-1.5486725663716685,20210610,False,True,-6.5591,-1.7261,-9.6019,2.5907,0.0,-7.12389381,-13.68299381
1155,000004.SZ,国华网安,2021-06-11 09:30:15,10.0,2,2368700.0,9.999999999999998,20210611,False,True,-10.0,-6.6265,3.8213,-5.4493,5.0051,0.0,-16.6265
1161,003032.SZ,传智教育,2021-06-15 09:30:15,1.47294268,5,,5.667627281460133,20210615,False,True,10.0,10.0,-3.9374,0.1629,-7.1545,-8.52705732,7.535542679999999
1163,600070.SH,浙江富润,2021-06-16 09:33:00,10.0,2,11875090.0,9.921962095875124,20210616,False,True,-2.7356,1.3542,3.5971,-6.25,-4.3386,0.0,-2.7356
1168,002767.SZ,先锋电子,2021-06-17 09:30:45,10.0,2,4188711.0,5.607476635514023,20210617,False,True,10.0,10.0,10.0,-3.1932,-3.2985,0.0,26.8068
1174,603777.SH,来伊份,2021-06-18 14:10:44,4.08057851,2,,5.836776859504127,20210618,False,True,-3.7717,-1.9598,-2.4198,-10.0,0.0,-5.91942149,-9.69112149
1179,600171.SH,上海贝岭,2021-06-21 09:31:15,10.0,2,6018911.0,7.9777365491651295,20210621,False,True,-3.8786,0.386,5.907,-4.9835,5.9396,0.0,-3.8786
1187,603779.SH,威龙股份,2021-06-22 09:46:45,4.95594714,3,721578.0,3.303964757709259,20210622,False,True,1.469,-4.3433,-4.3243,3.1638,-5.0383,-5.04405286,-3.57505286
1194,603779.SH,威龙股份,2021-06-23 09:30:45,1.46904512,4,,4.826862539349432,20210623,False,True,-4.3433,-4.3243,3.1638,-5.0383,-4.3829,-8.53095488,-12.87425488
1206,000663.SZ,永安林业,2021-06-24 09:30:45,0.43103448,3,,4.827586206896556,20210624,False,True,4.9785,4.906,-4.2868,-1.873,-4.9793,-9.56896552,-4.59046552
1212,601665.SH,齐鲁银行,2021-06-25 09:32:30,10.0,5,14133215.0,4.070796460176982,20210625,False,True,-10.0,-10.0,-7.6465,-2.5806,-4.5254,0.0,-27.6465
1217,603098.SH,森特股份,2021-06-28 09:31:00,10.0,4,3461028.0,7.217573221757315,20210628,False,True,-4.9929,-2.6527,-2.2879,0.8419,3.8351,0.0,-4.9929
1226,603958.SH,哈森股份,2021-06-29 09:30:15,10.0,2,4996846.0,10.036719706242351,20210629,False,True,10.0,10.0,-8.8235,-6.9556,-4.6587,0.0,11.1765
1233,002418.SZ,康盛股份,2021-06-30 09:30:30,10.0,3,26908202.0,7.250755287009057,20210630,False,True,-9.8901,-7.0122,10.1639,-0.5952,9.8802,0.0,-9.8901
1241,603958.SH,哈森股份,2021-07-01 09:30:15,10.0,4,3255574.0,10.010111223458042,20210701,False,True,-8.8235,-6.9556,-4.6587,-0.3409,-4.447,0.0,-8.8235
1245,000062.SZ,深圳华强,2021-07-02 09:30:30,-4.51612903,2,,6.989247311827941,20210702,False,True,-2.9842,-0.9286,0.4101,-0.4084,-1.1131,-14.51612903,-17.50032903
1253,002865.SZ,钧达股份,2021-07-05 09:30:30,3.26797386,2,,8.714596949891067,20210705,False,True,-9.2405,1.1158,2.069,-0.3604,-0.0904,-6.73202614,-15.97252614
