,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
600238.SH,海南椰岛,2021-01-20 09:30:00,5.03067485,2,1506499.0,5.030674846625768,20210120,True,False,1.5187,1.3809,4.9943,-2.9189,3.8976,-4.96932515,-3.4506251500000005
002176.SZ,江特电机,2021-01-20 09:30:00,5.07246377,2,6308500.0,5.072463768115947,20210120,True,False,5.0,4.9261,5.0078,5.0671,-0.9929,-4.92753623,0.0724637699999997
600280.SH,中央商场,2021-01-20 09:30:00,4.95867769,2,2876998.0,4.958677685950418,20210120,True,False,-1.1811,0.3984,5.1587,1.8868,-4.8148,-5.04132231,-6.22242231
603779.SH,威龙股份,2021-01-20 09:30:00,5.07880911,2,880460.0,5.078809106830123,20210120,True,False,5.0,-3.6508,-0.9885,-2.995,-0.8576,-4.92119089,0.0788091099999999
003032.SZ,传智教育,2021-01-20 09:30:00,10.0,6,12247418.0,9.994900560938301,20210120,True,False,10.0,-10.0,-5.3371,6.3304,-5.907,0.0,-5.3371
603500.SH,祥和实业,2021-01-20 09:30:00,10.0,4,3161886.0,10.006807351940099,20210120,True,False,-10.0,-10.0,-10.0,-6.0272,-0.6323,0.0,-36.0272
000020.SZ,深华发A,2021-01-20 09:30:15,10.0,2,12685526.0,9.861751152073735,20210120,False,True,3.2663,-7.9481,-10.0,-10.0,-7.0652,0.0,3.2663
002096.SZ,南岭民爆,2021-01-20 09:30:15,10.0,2,4541900.0,8.831168831168839,20210120,False,False,10.0,-10.0,-7.1514,-8.4724,4.3478,0.0,-7.1514
002943.SZ,宇晶股份,2021-01-20 09:30:15,10.0,2,2468100.0,7.268951194184831,20210120,False,False,10.0,7.2501,-10.0,-10.0,-10.0,0.0,17.2501
002172.SZ,澳洋健康,2021-01-20 09:30:30,10.0,2,12193449.0,9.907120743034051,20210120,False,False,10.1408,-10.0,-0.2841,-10.0,2.8481,0.0,-0.14329999999999954
002370.SZ,亚太药业,2021-01-20 09:31:15,10.0,4,8260556.0,2.8888888888888866,20210120,False,False,10.101,-10.0,-4.6843,-10.0,-9.0261,0.0,-4.5832999999999995
002289.SZ,宇顺电子,2021-01-20 09:33:00,5.04087193,2,683699.0,5.0408719346049065,20210120,False,False,,,,,,-4.95912807,
002305.SZ,南国置业,2021-01-20 09:38:30,10.0,5,11836949.0,6.3829787234042605,20210120,False,False,-9.0323,-10.0,-9.8425,-5.2402,-1.8433,0.0,-9.0323
601015.SH,陕西黑猫,2021-01-20 09:40:17,10.1010101,3,8139320.0,5.05050505050505,20210120,False,False,10.0,6.1667,10.0,10.0,-5.3178,0.10101009999999988,16.2677101
002638.SZ,勤上股份,2021-01-20 14:00:56,5.03144654,2,797129.0,0.0,20210120,False,False,1.1976,1.7751,1.1628,2.2989,-5.0562,-4.96855346,-3.77095346
300641.SZ,正丹股份,2021-01-20 14:26:38,20.0,2,1370425.0,10.501567398119123,20210120,False,False,6.3969,-11.9018,-13.0919,-5.4487,2.0339,10.0,16.3969
003031.SZ,中瓷电子,2021-01-21 09:30:00,10.0,13,2828854.0,10.007241129616215,20210121,True,False,10.0,4.7152,1.8171,-10.0,-10.0,0.0,14.7152
003035.SZ,南网能源,2021-01-21 09:30:00,10.0,2,443460110.0,9.909909909909898,20210121,True,False,9.8361,10.0,10.1695,10.1538,10.0,0.0,9.8361
002269.SZ,美邦服饰,2021-01-21 09:30:00,-6.36942675,2,,10.191082802547765,20210121,True,False,-9.5238,-4.5113,0.7874,-4.6875,9.8361,-16.36942675,-25.893226749999997
000558.SZ,莱茵体育,2021-01-21 09:30:00,10.0,2,10914299.0,9.93788819875776,20210121,True,False,-9.0395,-10.0,-5.8621,2.9304,-3.2028,0.0,-9.0395
603779.SH,威龙股份,2021-01-21 09:30:00,5.0,3,724190.0,4.999999999999997,20210121,True,False,-3.6508,-0.9885,-2.995,-0.8576,-0.8651,-5.0,-8.6508
600280.SH,中央商场,2021-01-21 09:30:00,-1.18110236,3,,5.118110236220468,20210121,True,False,0.3984,5.1587,1.8868,-4.8148,-5.0584,-11.18110236,-10.78270236
002943.SZ,宇晶股份,2021-01-21 09:30:00,10.0,3,3109800.0,10.004719207173181,20210121,True,False,7.2501,-10.0,-10.0,-10.0,-7.5699,0.0,7.2501
601015.SH,陕西黑猫,2021-01-21 09:30:00,10.0,4,19014326.0,10.091743119266052,20210121,True,False,6.1667,10.0,10.0,-5.3178,-10.0,0.0,6.1667
003032.SZ,传智教育,2021-01-21 09:30:00,10.0,7,13752462.0,10.013908205841446,20210121,True,False,-10.0,-5.3371,6.3304,-5.907,5.042,0.0,-15.3371
605005.SH,合兴股份,2021-01-21 09:30:00,10.0,2,6134894.0,9.99010880316518,20210121,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000020.SZ,深华发A,2021-01-21 09:30:15,3.26633166,3,,9.966499162479073,20210121,False,True,-7.9481,-10.0,-10.0,-7.0652,2.5731,-6.7336683399999995,-14.68176834
002172.SZ,澳洋健康,2021-01-21 09:30:15,10.14084507,3,5553700.0,9.859154929577468,20210121,False,False,-10.0,-0.2841,-10.0,2.8481,-4.6154,0.14084506999999924,-10.143254930000001
002370.SZ,亚太药业,2021-01-21 09:30:30,10.1010101,5,7801000.0,9.696969696969688,20210121,False,False,-10.0,-4.6843,-10.0,-9.0261,-0.7833,0.10101009999999988,-14.5832899
002096.SZ,南岭民爆,2021-01-21 09:31:30,10.0,3,3006299.0,9.090909090909085,20210121,False,False,-10.0,-7.1514,-8.4724,4.3478,2.0161,0.0,-17.1514
