,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
000546.SZ,金圆股份,10.0,2,3.7885462555066054,2021-11-10 13:43:48,3024884.0,20211110,False,False,10.0,-0.7278,-1.7595,-8.4328,3.9935,0.0,9.2722
301089.SZ,拓新药业,20.0,3,14.254624591947769,2021-11-10 14:40:57,1038359.0,20211110,False,False,14.8406,20.0,,,,10.0,24.840600000000002
002096.SZ,南岭民爆,10.0,7,9.983982915109456,2021-11-11 09:30:00,30181699.0,20211111,True,False,-10.0,-8.3064,6.2353,-4.2636,-8.6177,0.0,-18.3064
605333.SH,沪光股份,10.0,4,7.4691026329930175,2021-11-11 09:30:15,2080300.0,20211111,False,True,10.0,10.0,1.9378,-3.604,2.3007,0.0,21.9378
000546.SZ,金圆股份,10.0,3,2.722177742193754,2021-11-11 09:45:30,5537706.0,20211111,False,False,-0.7278,-1.7595,-8.4328,3.9935,7.9937,0.0,-0.7278
301089.SZ,拓新药业,14.84056219,4,7.299380383859752,2021-11-11 09:59:45,,20211111,False,False,20.0,,,,,4.84056219,
603192.SH,汇得科技,10.0,3,4.876769795490297,2021-11-11 10:14:33,26400.0,20211111,False,False,4.8868,-0.7727,-1.5117,1.907,3.8339,0.0,4.8868
002395.SZ,双象股份,10.0,2,6.498194945848381,2021-11-11 13:30:51,1496137.0,20211111,False,False,0.0,-3.6916,-2.6405,2.1872,-4.5377,0.0,0.0
605289.SH,罗曼股份,1.41669233,2,1.6322759470280295,2021-11-12 09:34:00,,20211112,False,True,2.8849,-10.0,0.3608,-6.2092,4.878,-8.58330767,-5.69840767
603229.SH,奥翔药业,5.20163647,2,8.065458796025709,2021-11-12 10:21:03,,20211112,False,False,-2.8056,1.3432,-2.2843,-2.3665,10.0,-4.79836353,-7.60396353
605333.SH,沪光股份,10.0,5,-1.7098192476795206,2021-11-12 13:38:38,1789800.0,20211112,False,False,10.0,1.9378,-3.604,2.3007,1.3253,0.0,11.9378
002309.SZ,中利集团,10.0,2,10.06711409395972,2021-11-15 09:30:00,13269000.0,20211115,True,False,-4.1463,10.0,-10.0,10.0,6.8845,0.0,-4.1463
603213.SH,镇洋发展,10.0,2,10.010537407797674,2021-11-15 09:30:00,26424563.0,20211115,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002885.SZ,京泉华,3.33607908,2,10.008237232289948,2021-11-15 09:30:15,,20211115,False,True,10.0,-4.2391,-9.1941,-0.5417,10.0,-6.66392092,-0.9030209199999994
605333.SH,沪光股份,10.0,6,7.682060390763768,2021-11-15 09:31:30,2321584.0,20211115,False,False,1.9378,-3.604,2.3007,1.3253,2.1799,0.0,1.9378
002047.SZ,宝鹰股份,10.0,2,3.7383177570093493,2021-11-15 10:26:27,8928999.0,20211115,False,False,10.0,0.2577,-7.7121,-3.3426,1.1527,0.0,10.2577
688676.SH,金盘科技,12.80254777,2,3.152866242038223,2021-11-15 13:59:57,,20211115,False,False,2.1457,1.7413,-2.771,-3.6044,0.6957,2.8025477700000003,4.94824777
603213.SH,镇洋发展,10.0,3,9.961685823754799,2021-11-16 09:30:00,15338979.0,20211116,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002047.SZ,宝鹰股份,10.0,3,7.64872521246459,2021-11-16 09:30:15,1895299.0,20211116,False,True,0.2577,-7.7121,-3.3426,1.1527,0.0,0.0,0.2577
605133.SH,嵘泰股份,10.0,2,2.383053839364515,2021-11-16 09:31:46,2467375.0,20211116,False,False,10.0,3.7199,-2.1097,9.6264,-5.2097,0.0,13.719899999999999
603286.SH,日盈电子,10.0,2,9.943618657098911,2021-11-16 10:42:11,,20211116,False,False,2.9823,-3.3484,-1.9195,10.0,4.1649,0.0,2.9823
603213.SH,镇洋发展,10.0,4,10.017421602787458,2021-11-17 09:30:00,6127797.0,20211117,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605133.SH,嵘泰股份,10.0,3,9.987966305655844,2021-11-17 09:30:00,2813018.0,20211117,True,False,3.7199,-2.1097,9.6264,-5.2097,4.3899,0.0,3.7199
002011.SZ,盾安环境,10.0,2,10.023310023310017,2021-11-17 09:30:00,10830486.0,20211117,True,False,2.6483,2.1672,6.0606,10.0,-3.6364,0.0,2.6483
002432.SZ,九安医疗,10.0,2,9.963547995139736,2021-11-17 09:30:00,7700196.0,20211117,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002943.SZ,宇晶股份,10.0,2,9.989258861439309,2021-11-17 09:30:00,3266252.0,20211117,True,False,10.0,8.2865,10.0,2.0621,10.0,0.0,18.2865
