,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
300336.SZ,新文化,10.0,2,10.04709576138147,2020-01-20 09:30:00,42444110.0,20200120,True,False,10.0,10.0,-10.0,-10.0,-10.0,0.0,10.0
300703.SZ,创源股份,5.66157761,2,9.987277353689558,2020-01-20 09:30:00,,20200120,True,False,-10.0,-2.6756,-8.5223,-10.0,1.1686,-4.33842239,-14.33842239
600215.SH,派斯林,10.0,2,9.94962216624685,2020-01-20 09:30:00,4500276.0,20200120,True,False,6.8729,-3.7513,4.6771,-10.0,10.0,0.0,6.8729
300603.SZ,立昂技术,10.0,2,7.810457516339871,2020-01-20 09:35:30,1013889.0,20200120,False,True,10.0,-4.2668,-10.0,-10.0,8.2869,0.0,10.0
000700.SZ,模塑科技,10.0,3,1.9070321811680588,2020-01-20 09:56:12,8562490.0,20200120,False,False,10.0,10.0,10.0,-10.0,10.0,0.0,30.0
002973.SZ,侨银股份,-8.997669,11,10.023310023310033,2020-01-21 09:30:00,,20200121,True,False,-9.8361,-1.7045,-10.0,10.0,2.7437,-18.997669000000002,-28.833769000000004
300812.SZ,易天股份,10.0,8,9.998339146321214,2020-01-21 09:30:00,893883.0,20200121,True,False,10.0,5.0103,-10.0,-4.7059,4.4048,0.0,10.0
002971.SZ,和远气体,10.0,6,10.003985651654052,2020-01-21 09:30:00,6762048.0,20200121,True,False,-8.4783,0.0396,6.5691,10.0,0.3376,0.0,-8.4783
300813.SZ,泰林生物,10.0,5,10.00258464719567,2020-01-21 09:30:00,2361376.0,20200121,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
300336.SZ,新文化,10.0,3,9.985734664764625,2020-01-21 09:30:00,23338982.0,20200121,True,False,10.0,-10.0,-10.0,-10.0,2.4272,0.0,10.0
600513.SH,联环药业,10.0,2,9.9601593625498,2020-01-21 09:30:00,19011676.0,20200121,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600817.SH,宇通重工,4.9689441,2,4.968944099378864,2020-01-21 09:30:00,2524400.0,20200121,True,False,4.9704,4.9605,3.1149,-1.4583,0.2114,-5.0310559,-0.06065590000000043
300603.SZ,立昂技术,10.0,3,5.466428995840771,2020-01-21 09:31:00,598400.0,20200121,False,True,-4.2668,-10.0,-10.0,8.2869,8.1994,0.0,-4.2668
000700.SZ,模塑科技,10.0,4,3.0335861321776743,2020-01-21 09:46:30,6311046.0,20200121,False,False,10.0,10.0,-10.0,10.0,10.0,0.0,30.0
300813.SZ,泰林生物,10.0,6,10.009398496240596,2020-01-22 09:30:00,1418010.0,20200122,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
600513.SH,联环药业,10.0,3,9.963768115942043,2020-01-22 09:30:00,16263776.0,20200122,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600817.SH,宇通重工,4.9704142,3,4.970414201183432,2020-01-22 09:30:00,2084500.0,20200122,True,False,4.9605,3.1149,-1.4583,0.2114,0.7384,-5.0295858,-0.06908580000000075
000518.SZ,四环生物,10.0,2,9.911894273127757,2020-01-22 09:30:00,1809290.0,20200122,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
