,股票简称,昨首停,昨收,昨开,前连板,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
600280.SH,中央商场,2021-01-21 09:30:00,-1.18110236,5.118110236220468,3,,20210121,True,False,0.3984,5.1587,1.8868,-4.8148,-5.0584
002943.SZ,宇晶股份,2021-01-21 09:30:00,10.00471921,10.004719207173181,3,3109800.0,20210121,True,False,7.2501,-10.0,-10.0,-9.9753,-7.5699
601015.SH,陕西黑猫,2021-01-21 09:30:00,10.09174312,10.091743119266052,4,19014326.0,20210121,True,False,6.1667,10.0471,9.9857,-5.3178,-10.0
003032.SZ,传智教育,2021-01-21 09:30:00,10.01390821,10.013908205841446,7,13752462.0,20210121,True,False,-9.9874,-5.3371,6.3304,-5.907,5.042
605005.SH,合兴股份,2021-01-21 09:30:00,9.9901088,9.99010880316518,2,6134894.0,20210121,True,False,9.982,9.9755,10.0372,10.0,10.0123
000020.SZ,深华发A,2021-01-21 09:30:15,3.26633166,9.966499162479073,3,,20210121,False,True,-7.9481,-9.9559,-9.9804,-7.0652,2.5731
002172.SZ,澳洋健康,2021-01-21 09:30:15,10.14084507,9.859154929577468,3,5553700.0,20210121,False,False,-9.9744,-0.2841,-9.9715,2.8481,-4.6154
002370.SZ,亚太药业,2021-01-21 09:30:30,10.1010101,9.696969696969688,5,7801000.0,20210121,False,False,-9.9083,-4.6843,-10.0427,-9.0261,-0.7833
002096.SZ,南岭民爆,2021-01-21 09:31:30,10.03541913,9.090909090909085,3,3006299.0,20210121,False,False,-9.9785,-7.1514,-8.4724,4.3478,2.0161
603499.SH,翔港科技,2021-01-21 09:31:45,10.05524862,5.856353591160214,2,2190284.0,20210121,False,False,-10.0402,-10.0446,-10.0496,-0.9655,1.1142
002176.SZ,江特电机,2021-01-21 09:33:45,5,4.310344827586207,3,8667800.0,20210121,False,False,4.9261,5.0078,5.0671,-0.9929,0.1433
603058.SH,永吉股份,2021-01-21 09:36:30,10.06134969,9.079754601226997,2,1126752.0,20210121,False,False,10.0334,10.0304,-10.0368,-10.0307,10.0114
002906.SZ,华阳集团,2021-01-21 10:03:16,9.99383097,1.3880320789635896,2,723554.0,20210121,False,False,-1.29,-4.5455,1.0417,2.8277,-1.2317
003031.SZ,中瓷电子,2021-01-22 09:30:00,10.00526593,10.005265929436558,14,2783977.0,20210122,True,False,4.7152,1.8171,-10.0011,-10.0025,-8.5366
601015.SH,陕西黑猫,2021-01-22 09:30:00,6.16666667,9.999999999999995,5,,20210122,True,False,10.0471,9.9857,-5.3178,-10.0,-6.3927
002176.SZ,江特电机,2021-01-22 09:30:00,4.92610837,4.926108374384234,4,8977764.0,20210122,True,False,5.0078,5.0671,-0.9929,0.1433,-5.0072
002943.SZ,宇晶股份,2021-01-22 09:30:00,7.25010725,9.995709995710003,4,,20210122,True,False,-10.0,-10.0,-9.9753,-7.5699,-7.4184
003035.SZ,南网能源,2021-01-22 09:30:00,9.83606557,9.836065573770501,3,305797830.0,20210122,True,False,10.0746,10.1695,10.1538,10.0559,9.8985
605005.SH,合兴股份,2021-01-22 09:30:00,9.98201439,9.982014388489219,3,10033931.0,20210122,True,False,9.9755,10.0372,10.0,10.0123,-9.9944
605228.SH,神通科技,2021-01-22 09:30:00,9.96784566,9.967845659163984,2,23300124.0,20210122,True,False,10.039,10.0089,9.9839,-10.0293,-3.4988
605018.SH,长华股份,2021-01-22 09:30:15,10.03278689,10.032786885245908,2,2849600.0,20210122,False,True,10.0119,10.0217,9.9951,-9.9821,-9.995
605255.SH,天普股份,2021-01-22 09:32:30,10.00555864,5.614230127848814,2,1455300.0,20210122,False,False,10.0051,1.0565,10.0,-10.0,-10.0092
000558.SZ,莱茵体育,2021-01-22 09:33:00,-9.03954802,6.497175141242938,3,,20210122,False,False,-9.9379,-5.8621,2.9304,-3.2028,1.1029
600844.SH,丹化科技,2021-01-22 09:34:00,-2.97619048,5.158730158730155,3,,20210122,False,False,-7.5665,9.9558,10.0604,6.0329,-10.0
603058.SH,永吉股份,2021-01-22 09:46:39,10.03344482,-3.0100334448160684,3,2692352.0,20210122,False,False,10.0304,-10.0368,-10.0307,10.0114,-10.031
605155.SH,西大门,2021-01-22 11:15:20,9.99222395,4.976671850699849,2,1024281.0,20210122,False,False,10.0035,-5.8162,0.3071,-10.0,10.0151
002192.SZ,融捷股份,2021-01-22 11:20:05,5.00615511,1.9696347968814132,2,630900.0,20210122,False,False,5.002,-4.3543,1.537,-0.9389,0.5803
